Category,file_type,perc_number
MLOps/ AIOps,ELF/COFF,6.599
MLOps/ AIOps,ELF/COFF,14.9781
MLOps/ AIOps,ELF/COFF,4.2338
MLOps/ AIOps,ELF/COFF,13.2893
MLOps/ AIOps,ELF/COFF,1.2918
MLOps/ AIOps,ELF/COFF,5.1073
MLOps/ AIOps,ELF/COFF,7.2355
MLOps/ AIOps,ELF/COFF,6.8423
MLOps/ AIOps,ELF/COFF,8.0901
MLOps/ AIOps,ELF/COFF,7.4574
MLOps/ AIOps,ELF/COFF,2.799
MLOps/ AIOps,ELF/COFF,4.2127
MLOps/ AIOps,ELF/COFF,17.2288
MLOps/ AIOps,ELF/COFF,3.0781
MLOps/ AIOps,ELF/COFF,2.786
MLOps/ AIOps,ELF/COFF,2.5108
MLOps/ AIOps,ELF/COFF,2.0872
MLOps/ AIOps,ELF/COFF,4.07
MLOps/ AIOps,ELF/COFF,8.4932
MLOps/ AIOps,ELF/COFF,13.2828
MLOps/ AIOps,ELF/COFF,1.6908
MLOps/ AIOps,ELF/COFF,7.6839
MLOps/ AIOps,ELF/COFF,2.1721
MLOps/ AIOps,ELF/COFF,0.6209
MLOps/ AIOps,ELF/COFF,5.2135
MLOps/ AIOps,ELF/COFF,2.2731
MLOps/ AIOps,ELF/COFF,1.9707
MLOps/ AIOps,ELF/COFF,2.6567
MLOps/ AIOps,ELF/COFF,2.3885
MLOps/ AIOps,ELF/COFF,3.513
MLOps/ AIOps,ELF/COFF,8.0808
MLOps/ AIOps,ELF/COFF,1.2688
MLOps/ AIOps,ELF/COFF,4.275
MLOps/ AIOps,ELF/COFF,3.8161
MLOps/ AIOps,ELF/COFF,12.9103
MLOps/ AIOps,ELF/COFF,16.9334
MLOps/ AIOps,ELF/COFF,3.1904
MLOps/ AIOps,ELF/COFF,13.5845
MLOps/ AIOps,ELF/COFF,2.0514
MLOps/ AIOps,ELF/COFF,6.226
MLOps/ AIOps,ELF/COFF,4.1956
MLOps/ AIOps,ELF/COFF,8.0952
MLOps/ AIOps,ELF/COFF,1.0871
MLOps/ AIOps,ELF/COFF,8.2457
MLOps/ AIOps,ELF/COFF,4.7191
MLOps/ AIOps,ELF/COFF,7.8815
MLOps/ AIOps,ELF/COFF,6.4858
MLOps/ AIOps,ELF/COFF,5.6641
MLOps/ AIOps,ELF/COFF,13.7484
MLOps/ AIOps,ELF/COFF,7.8153
MLOps/ AIOps,ELF/COFF,1.9665
MLOps/ AIOps,ELF/COFF,3.4235
MLOps/ AIOps,ELF/COFF,3.2444
MLOps/ AIOps,ELF/COFF,5.2841
MLOps/ AIOps,ELF/COFF,2.3656
MLOps/ AIOps,ELF/COFF,3.4289
MLOps/ AIOps,ELF/COFF,3.465
MLOps/ AIOps,ELF/COFF,2.1038
MLOps/ AIOps,ELF/COFF,1.8745
MLOps/ AIOps,ELF/COFF,3.0962
MLOps/ AIOps,ELF/COFF,2.8712
MLOps/ AIOps,ELF/COFF,2.9501
MLOps/ AIOps,ELF/COFF,2.5449
MLOps/ AIOps,ELF/COFF,7.2738
MLOps/ AIOps,ELF/COFF,2.149
MLOps/ AIOps,ELF/COFF,4.0822
MLOps/ AIOps,ELF/COFF,6.5602
MLOps/ AIOps,ELF/COFF,0.0774
MLOps/ AIOps,ELF/COFF,13.1012
MLOps/ AIOps,ELF/COFF,3.6696
MLOps/ AIOps,ELF/COFF,2.7988
MLOps/ AIOps,.nii.1,4.9892
MLOps/ AIOps,.nii.1,4.9001
MLOps/ AIOps,Perl,5.5523
MLOps/ AIOps,Perl,3.8919
MLOps/ AIOps,Perl,4.1685
MLOps/ AIOps,Perl,1.46
MLOps/ AIOps,Perl,12.8504
MLOps/ AIOps,Perl,2.4819
MLOps/ AIOps,Perl,2.7848
MLOps/ AIOps,Perl,2.9742
MLOps/ AIOps,Perl,12.5435
MLOps/ AIOps,Perl,1.9951
MLOps/ AIOps,Perl,3.652
MLOps/ AIOps,Perl,0.7618
MLOps/ AIOps,Perl,8.3271
MLOps/ AIOps,Perl,0.5076
MLOps/ AIOps,Perl,6.8119
MLOps/ AIOps,Perl,2.6881
MLOps/ AIOps,Perl,16.5443
MLOps/ AIOps,Perl,1.637
MLOps/ AIOps,Perl,3.8793
MLOps/ AIOps,Perl,15.5207
MLOps/ AIOps,Perl,5.6754
MLOps/ AIOps,Perl,6.7974
MLOps/ AIOps,Perl,5.4649
MLOps/ AIOps,Perl,5.3138
MLOps/ AIOps,Perl,3.0113
MLOps/ AIOps,Perl,10.4836
MLOps/ AIOps,Perl,2.1764
MLOps/ AIOps,Perl,0.7116
MLOps/ AIOps,Perl,2.7052
MLOps/ AIOps,Perl,4.1802
MLOps/ AIOps,Perl,10.7454
MLOps/ AIOps,Perl,2.5886
MLOps/ AIOps,Perl,16.5362
MLOps/ AIOps,Perl,1.7018
MLOps/ AIOps,Perl,7.3626
MLOps/ AIOps,Perl,2.3626
MLOps/ AIOps,Perl,0.7751
MLOps/ AIOps,Perl,5.0014
MLOps/ AIOps,Perl,2.0983
MLOps/ AIOps,Perl,2.1103
MLOps/ AIOps,Perl,4.1558
MLOps/ AIOps,Perl,3.0926
MLOps/ AIOps,Perl,1.685
MLOps/ AIOps,Perl,6.0583
MLOps/ AIOps,Perl,0.9406
MLOps/ AIOps,Perl,3.6852
MLOps/ AIOps,Perl,15.9981
MLOps/ AIOps,Perl,3.9195
MLOps/ AIOps,Perl,4.3189
MLOps/ AIOps,Perl,1.3478
MLOps/ AIOps,Perl,7.9197
MLOps/ AIOps,Perl,5.2209
MLOps/ AIOps,Perl,0.3571
MLOps/ AIOps,Perl,0.5471
MLOps/ AIOps,Perl,2.317
MLOps/ AIOps,Perl,5.5294
MLOps/ AIOps,Perl,3.7609
MLOps/ AIOps,Perl,5.7085
MLOps/ AIOps,Perl,4.1583
MLOps/ AIOps,Perl,12.7018
MLOps/ AIOps,Perl,9.7376
MLOps/ AIOps,Perl,2.0732
MLOps/ AIOps,Perl,3.9934
MLOps/ AIOps,Perl,8.042
MLOps/ AIOps,Perl,3.3264
MLOps/ AIOps,Perl,3.2877
MLOps/ AIOps,Perl,7.3017
MLOps/ AIOps,Perl,4.2181
MLOps/ AIOps,Perl,0.9806
MLOps/ AIOps,Perl,2.8872
MLOps/ AIOps,Perl,4.2812
MLOps/ AIOps,Perl,5.732
MLOps/ AIOps,Perl,2.6618
