Category,image,metrics,layer_size
MLOps/ AIOps,jolibrain/deepdetect_gpu_tensorrt,CLS,6.48
MLOps/ AIOps,jolibrain/deepdetect_gpu_tensorrt,CLS,4.41
MLOps/ AIOps,jolibrain/deepdetect_gpu_tensorrt,CLS,1.89
MLOps/ AIOps,tensorflow/tfx,FLS,24.73
MLOps/ AIOps,tensorflow/tfx,CLS,6.38
MLOps/ AIOps,kserve/kserve-migration,FLS,166.79
MLOps/ AIOps,kserve/kserve-controller,FLS,58.28
MLOps/ AIOps,kserve/kserve-controller,CLS,23.25
MLOps/ AIOps,kserve/kserve-controller,CLS,50.77
MLOps/ AIOps,4pdosc/openmldb,FLS,1.65
MLOps/ AIOps,4pdosc/openmldb,CLS,1.04
MLOps/ AIOps,volcanosh/volcano-device-plugin,FLS,101.23
MLOps/ AIOps,volcanosh/volcano-device-plugin,CLS,30.59
MLOps/ AIOps,feastdev/feast-serving,FLS,633.38
MLOps/ AIOps,feastdev/feast-serving,CLS,308.2
MLOps/ AIOps,bentoml/model-server,FLS,8.98
MLOps/ AIOps,bentoml/yatai-service,FLS,2.41
MLOps/ AIOps,bentoml/yatai-service,CLS,2.13
MLOps/ AIOps,bentoml/yatai-service,CLS,504.1
MLOps/ AIOps,seldonio/seldon-server,FLS,1.53
MLOps/ AIOps,seldonio/seldon-server,CLS,550.76
MLOps/ AIOps,mltooling/ml-workspace,FLS,11.61
MLOps/ AIOps,mltooling/ml-workspace,CLS,3.07
MLOps/ AIOps,polyaxon/polyaxon-sidecar,FLS,711.35
MLOps/ AIOps,polyaxon/polyaxon-hpsearch,FLS,772.56
MLOps/ AIOps,polyaxon/polyaxon-scheduler,FLS,575.94
MLOps/ AIOps,polyaxon/polyaxon-core,FLS,582.67
MLOps/ AIOps,polyaxon/polyaxon-api,FLS,694.4
MLOps/ AIOps,polyaxon/polyaxon-api,CLS,157.95
MLOps/ AIOps,polyaxon/polyaxon-api,CLS,187.24
MLOps/ AIOps,polyaxon/polyaxon-api,CLS,155.72
MLOps/ AIOps,polyaxon/polyaxon-api,CLS,184.32
MLOps/ AIOps,polyaxon/polyaxon-api,CLS,220.85
MLOps/ AIOps,marsproject/mars-base,FLS,3.15
MLOps/ AIOps,marsproject/mars-base,CLS,617.52
MLOps/ AIOps,vertaaiofficial/modeldb-backend,FLS,410.73
MLOps/ AIOps,vertaaiofficial/modeldb-backend,CLS,262.14
MLOps/ AIOps,wixee/old_he-transformer,FLS,31.94
